"Sıra","Şirket Adı","Kategori","Adres / Şehir","Web Sitesi","E-mail","Telefon","Genel Müdür / CEO Adı","Ünvan","CEO Profil / Kaynak Linki","Google Puanı","Yorum Sayısı","Ovlink Uygunluk Skoru (/100)","Öncelik Seviyesi"
"52","Grimor Web Tasarım & Yazılım Firması","Website designer","Büyükdere Cd. Hayat Apt. No:28 K:1 D:2, Mecidiyeköy Mahallesi, 34394 Şişli/İstanbul, Türkiye","https://www.grimor.com/","info@grimor.com","+90 212 272 46 00","Belirtilmedi","","","4.7","68","100","Çok Yüksek"
"53","Master Web Premium Yazılım Ajansı","Website designer","19 Mayıs mah. Halaskargazi cad. Çiftkurt No: 226/24, 34360 Şişli/İstanbul, Türkiye","https://mastertasarim.com/","info@mastertasarim.com","+90 850 242 4393","Belirtilmedi","","","4.3","45","100","Çok Yüksek"
"54","Web design company in Istanbul | Florid Studio","Website designer","15, Talatpaşa, Anka Sok., 34400 Kağıthane/İstanbul, Türkiye","","","+90 553 575 30 99","Girişimci Eğitmen Orhan","Kurucu / CEO","Google AI Overview","5","1","100","Çok Yüksek"
"55","Social Media Management","Marketing agency","İskenderpaşa, Horhor Cd. No:36, 34080 Fatih/İstanbul, Türkiye","https://www.fiverr.com/uffaqzahra","info@fiverr.com","+90 506 793 00 78","Kostas Alekoglu","Helping clinics gain more customers. ...","https://uk.linkedin.com/in/kostasalekoglu","5","3","100","Çok Yüksek"
"56","Social Month Digital Marketing Agency","Marketing agency","Ataköy 7-8-9-10. Kısım Mahallasi, No:12, kat:9/A82, Nivo Atakoy, 34158 Bakırköy/İstanbul, Türkiye","https://socialmonth.com/","info@socialmonth.com","+971 50 178 2212","Peter Markel","Social media marketing agency owner & ...","https://www.linkedin.com/in/peter-markel","5","19","100","Çok Yüksek"
"57","Tykhe.co - Digital Marketing and Social Media Management Agency","Marketing agency","Barbaros, Halk Cd. Palladium Residence A Blok No:8 A/3, 34746 Ataşehir/İstanbul, Türkiye","https://www.tykhe.co/","info@tykhe.co","+90 216 222 00 25","Tia Christofi","CEO / Kurucu","https://www.instagram.com/p/DGNG1OiSH4r/","5","35","100","Çok Yüksek"
"58","Watsspace Digital Marketing Solutions","Marketing agency","Allure Tower, Üniversite, Civan Sk. No: 1, 34513 Avcılar/İstanbul, Türkiye","https://watsspace.com/","info@watsspace.com","","Yovan Dass","Founder & CEO, TRYMYWEBSITES™","https://in.linkedin.com/in/yovan-dass-170218339","5","25","100","Çok Yüksek"
"59","Survivor Dijital Medya Pazarlama Ajansı - Dijital Reklam- Performans Pazarlama","Marketing agency","Quasar İstanbul, Mecidiyeköy Mahallesi, Büyükdere Cd. No:76 Kat:13 D.No:188, 34394 Şişli/İstanbul, Türkiye","https://www.survivor.com.tr/","info@survivor.com.tr","","Belirtilmedi","","","4.8","50","100","Çok Yüksek"
"60","Duo İstanbul Marketing","Marketing agency","Atatürk Bulvarı, Ertuğrul Gazi Sk. Metropol İstanbul İç Kapı No 225, 34758 Ataşehir/İstanbul, Türkiye","https://duoistanbul.com/","info@duoistanbul.com","+90 532 053 27 68","Belirtilmedi","","","5","47","100","Çok Yüksek"
"61","ROIPUBLIC Performans ve SEO Ajansı - İstanbul","Internet marketing service","Nidakule Ataşehir Kuzey, Barbaros, Begonya Sk. No:3 K:2, D:73, 34746 Ataşehir/İstanbul, Türkiye","https://www.roipublic.com/","hello@roipublic.com","+90 850 259 9400","Belirtilmedi","","","4.9","73","100","Çok Yüksek"
"62","Scarlet Media","Advertising agency","Feneryolu, Bağdat Cad. 81/9, 34724 Kadıköy/İstanbul, Türkiye","https://www.scarletmedia.net/tr/","mail@scarletmedia.net","+90 216 550 68 69","Belirtilmedi","","","4.9","63","100","Çok Yüksek"
"63","Frogs Agency","Marketing agency","Medicana Hastanesi Yanı, Büyükşehir, E-5 Yanyolu Üzeri, 34520 Beylikdüzü/İstanbul, Türkiye","https://www.frogmediaagency.com/","info@frogmediaagency.com","+90 546 769 23 39","Dan Sharp","Co","https://uk.linkedin.com/in/dansharpseo","4.9","14","100","Çok Yüksek"
"64","Abays Medya Danışmanlık ve Reklam Ajansı - İstanbul","Advertising agency","Suadiye, Bağdat Cad. No:348, 34740 Kadıköy/İstanbul, Türkiye","http://abaysmedia.com/","info@abaysmedia.com","+90 216 999 88 34","Belirtilmedi","","","5","41","100","Çok Yüksek"
"65","Soneo Creative Works","Advertising agency","Kemankeş Karamustafa Paşa, Mumhane Cd. No:57 Kat 3, 34425 Beyoğlu/İstanbul, Türkiye","http://www.soneocreative.com/","info@soneocreative.com","+90 534 811 22 32","Belirtilmedi","","","5","66","100","Çok Yüksek"
"66","Sunrise Global Dijital Pazarlama Performans Ajansı I Sosyal Medya I Dijital Reklam I Fotoğraf & Video Prodüksiyon","Advertising agency","İçerenköy Mah Eski Üsküdar Yolu Cad Topçu İbrahim Sok No: 7 Kat: 5 D: 11, 34000 Ataşehir, Türkiye","http://sunriseglobal.net/","info@sunriseglobal.net","+90 531 733 55 17","Belirtilmedi","","","5","58","100","Çok Yüksek"
"67","Garraje","Marketing agency","Nisbetiye, Nisbetiye Cd No :30 Kat:4, No :25, 34340 Beşiktaş/İstanbul, Türkiye","https://garraje.com/","info@garraje.com","+90 534 717 82 27","Ahmet Çoban","Kurucu / CEO","Google AI Overview","4.7","46","100","Çok Yüksek"
"68","İ00 Digital Marketing Consultancy","Marketing consultant","Saray Apt, Halaskargazi, Halaskargazi Cd. No:141 D:5 Kat:3, 34371 Şişli/İstanbul, Türkiye","https://i00.co/","info@i00.co","+90 537 419 70 62","Belirtilmedi","","","4.9","37","100","Çok Yüksek"
"69","Level Advertising - Istanbul | Sosyal Medya | Web Tasarım & Yazılım | Dijital Reklam Ajansı","Advertising agency","Esentepe Mah. Büyükdere Cad. Plaza 195, NO:195, Kat: 5, Levent, 34394 Şişli/İstanbul, Türkiye","http://www.levelistanbul.com/","info@levelistanbul.com","+90 533 840 99 93","Ahmet Yaman","CMO","https://tr.linkedin.com/in/ahmet-yaman-05791839/en","5","74","100","Çok Yüksek"
"70","ZEYMEDYA REKLAM AJANSI | İSTANBUL REKLAM VE SEO AJANSI, DİJİTAL PAZARLAMA AJANSI, SOSYAL MEDYA AJANSI, 360 REKLAM","Advertising agency","Çağlayan, Latif Sk. No:3, 34403 Kağıthane/İstanbul, Türkiye","https://zeymedya.com/","info@zeymedya.com","+90 530 236 00 25","Muhammet Fatih Öztürk","Kurucu / CEO","Google AI Overview","5","76","100","Çok Yüksek"
"71","Boomerang İstanbul","Advertising agency","Halaskargazi, Halaskargazi Cd. No:12/5, 34371 Şişli/İstanbul, Türkiye","","","+90 212 225 00 64","Belirtilmedi","","","4.8","5","100","Çok Yüksek"
"72","Socialp Media - Sosyal Medya Ajansı","Advertising agency","Zuhuratbaba, İncirli Cd. No:69, 34147 Bakırköy/İstanbul, Türkiye","https://www.socialpmedia.com/","hello@socialpmedia.com","+90 540 034 69 69","Belirtilmedi","","","5","22","100","Çok Yüksek"
"73","51 Digital: Dijital Pazarlama Ajansı - SEO Ajansı, Reklam Şirketi","Advertising agency","İçerenköy, Çayır Cd No: 2, 34752 Ataşehir/İstanbul, Türkiye","https://www.51.com.tr/","info@51.com.tr","+90 546 110 51 51","Sercan Coşkunoğlu","CEO / Kurucu","https://www.dpedijital.com/hakkimizda/","5","15","100","Çok Yüksek"
"74","Amber Digital Agency | Dijital Pazarlama Ajansı","Marketing agency","Yenişehir, Ankara Cd. No: 403-1/1, 34912 Pendik/İstanbul, Türkiye","https://amberdijital.com/","info@amberdijital.com","+90 543 128 88 46","Amber Vodegel","Founder & CEO, 28X","https://uk.linkedin.com/in/amber-vodegel-0995556","5","87","100","Çok Yüksek"
"75","Digipeak Agency - Dijital Pazarlama Ajansı","Advertising agency","Ömer avni mahallesi, Gümüşsuyu, Emektar Sk. No:14, 34427 Beyoğlu/İstanbul, Türkiye","https://digipeak.org/tr/","info@digipeak.org","+90 544 838 52 39","Ufuk Yalvaç","Kurucu / CEO","Google AI Overview","4.9","44","100","Çok Yüksek"
"76","İstanbul SEO Ajansı - Aora Digital | Web Tasarım ve Dijital Pazarlama","Advertising agency","Atatürk, Turgut Özal Blv. No:10/1 K:2 İç Kapı No:9, 34758 Ataşehir/İstanbul, Türkiye","https://www.aora.com.tr/","ugurbasar@aora.com.tr","+90 216 580 97 20","Belirtilmedi","","","5","42","100","Çok Yüksek"
"77","Magna Dijital Pazarlama Ajansı","Marketing agency","Balmumcu Mah. Gazi Umur Paşa Sok. Balmumcu Plaza 4 No: 36 D: 2, 34349 Beşiktaş/İstanbul, Türkiye","https://www.magnadijital.com.tr/","info@magnadijital.com.tr","+90 850 333 8091","Belirtilmedi","","","4.8","27","100","Çok Yüksek"
"78","DIRECT GROUP - Digital Marketing Company","Internet marketing service","Akşemsettin, Sarı Nasuh Sk. AHENK APT BLOK NO: 17B, 34080 Fatih/İstanbul, Türkiye","","","+90 536 480 92 91","Rudy Kazal","CEO / Kurucu","https://www.edirect.ae/the-team/","5","20","100","Çok Yüksek"
"79","Touch Digital I Dijital Pazarlama Ajansı","Marketing agency","Barbaros, Lale Sok. My Office İş Merkezi No: 2/13, 34746 Ataşehir/İstanbul, Türkiye","https://touchdi.com/","hi@touchdi.com","+90 534 460 19 96","Sumru Deniz Yeşil","Kurucu / CEO","Google AI Overview","5","11","100","Çok Yüksek"
"80","Sempeak | Performans Pazarlama ve SEO Ajansı","Marketing agency","Altunizade, Sırma Perde Sk. No:25, 34662 Üsküdar/İstanbul, Türkiye","https://www.sempeak.com/","info@sempeak.com","+90 216 550 01 35","Belirtilmedi","","","4.1","26","100","Çok Yüksek"
"81","Bossy Digital Dijital Pazarlama ve Performans Ajansı - İstanbul","Advertising agency","Esentepe mh. Talatpaşa cd. No: 5 İç Kapı No: 1, 34394 Şişli/İstanbul, Türkiye","https://bossydigital.com/","info@bossydigital.com","+90 212 993 13 97","Faruk Kabadağ","CEO / Kurucu","https://www.linkedin.com/company/bossydigital/","5","13","100","Çok Yüksek"
"82","Globa Dijital Reklam Ajansı","Marketing agency","İzzet Paşa, Yeni Yol Cd. NUROL TOWER KAT: 31 OFİS NO: 3104, 34000 Şişli/İstanbul, Türkiye","https://globadigital.com/","info@globadijital.com","+90 535 269 57 32","Recep Koca","Founder & CEO at Lojistik Evreni Digital ...","https://tr.linkedin.com/in/recepkoca/en","5","20","100","Çok Yüksek"
"83","İstanbul Reklam Ajans & İRA Dijital Pazarlama Ajansı","Marketing agency","Küçükbakkalköy, Nergis Sk no18/24, 34768 Ataşehir/İstanbul, Türkiye","https://www.istanbulreklamajans.com/","info@istanbulreklamajans.com","+90 530 219 30 72","Belirtilmedi","","","5","20","100","Çok Yüksek"
"84","Lead Magneters - Digital marketing agency in Istanbul, SEO company in Turkey","Marketing agency","Bahçeşehir 1. Kısım, Fırat Cd., 34488 Başakşehir/İstanbul, Türkiye","https://leadmagneters.com/","info@leadmagneters.com","+90 530 307 22 74","Belirtilmedi","","","5","3","100","Çok Yüksek"
"85","Nansa Marketing & Ecommerce Agency","Marketing agency","Huzur, Azerbaycan Cd., 34396 Sarıyer/İstanbul, Türkiye","https://www.nansa.com.tr/","info@nansa.com.tr","+90 501 338 13 38","Belirtilmedi","","","5","4","100","Çok Yüksek"
"86","INDOLES Creative & E-Commerce Agency","Marketing agency","Esentepe Talatpaşa Caddesi No:5 Harman Sok. Girişi, 34394 Şişli/İstanbul, Türkiye","https://www.indoles.com.tr/","digital@indoles.com.tr","+90 536 247 60 12","Charina Widjaja","CEO / Kurucu","https://www.ecommerceexpo-dmexco.asia/2025-speaker-list","5","5","100","Çok Yüksek"
"87","Benji's Digital","E commerce agency","Evliya Çelebi, Sadi Konuralp Cd. No: 5/2, 34430 Beyoğlu/İstanbul, Türkiye","https://www.benjisdigital.com/","hello@benjisdigital.com","+90 532 154 11 20","Emir Bengiserp","Kurucu / CEO","Google AI Overview","5","3","100","Çok Yüksek"
"88","SN Marketing & Ecommerce Agency","Marketing agency","Huzur mah Azerbaycan cd skyland, 34475 Sarıyer/İstanbul, Türkiye","https://snmarketinghub.com/","info@snmarketinghub.com","+90 501 338 13 38","Yılmaz Bozan","CEO / Genel Müdür","https://www.revolutiondm.com/","","","100","Çok Yüksek"
"89","DxGreat","Marketing agency","Esentepe, Keskin Kalem Sok. No:41, 34394 Şişli/İstanbul, Türkiye","http://www.dxgreat.com/","info@dxgreat.com","","Deniz Ozgur","CEO / Kurucu","https://www.youtube.com/watch?v=7mZBNsqLrs0","5","8","100","Çok Yüksek"
"90","clickzone - Growth Marketing Agency","Internet marketing service","Konaklar, Selvili Sokağı Emlak Bankası Apartmanı, No:2 D:38, 34330 Beşiktaş/İstanbul, Türkiye","https://clickzone.io/","hello@clickzone.io","+90 850 304 1191","Alper Boyer","VP of Growth at clickzone","https://tr.linkedin.com/in/alperboyer","5","15","100","Çok Yüksek"
"91","Kurumsal SEO Ajansı - Mobitek","Advertising agency","BUSINESS ISTANBUL, Merdivenköy Mah. Yumurtacı Abdi Bey Cd, Merdivenköy, Dikyol Sk. No:10 B Blok / D:16, 34732 Kadıköy/İstanbul, Türkiye","https://mobitek.com/","iletisim@mobitek.com","+90 216 418 08 84","Belirtilmedi","","","4.4","28","100","Çok Yüksek"
